bee,attemptNr,attFlwrTyp,horz0_vert1,success,,,
b21,1,1,1,1,,,
b34,1,1,0,1,,,
b43,1,1,1,1,,,
b67,1,1,1,1,,,
g14,1,1,1,1,,,
g15,1,1,0,1,,,
g2,1,1,0,1,,,
g21,1,1,1,1,,,
g26,1,1,1,1,,,
g31,1,1,0,0,,,
g32,1,1,1,0,,,
g36,1,1,1,1,,,
g39,1,1,1,1,,,
g45,1,1,0,1,,,
g49,1,1,0,1,,,
g50,1,1,1,1,,,
g52,1,1,0,0,,,
g53,1,1,0,0,,,
g55,1,1,1,1,,,
g56,1,1,1,1,,,
g59,1,1,0,1,,,
g6,1,1,1,0,,,
g64,1,1,1,1,,,
g7,1,1,1,1,,,
g72,1,1,1,0,,,
g76,1,1,1,0,,,
g76,1,4,1,0,,,
g88,1,1,0,0,,,
r2,1,1,1,1,,,
r25,1,1,0,1,,,
r30,1,1,1,1,,,
r33,1,1,1,0,,,
r36,1,1,0,1,,,
r39,1,1,1,0,,,
r4,1,1,1,1,,,
r42,1,1,1,0,,,
r45,1,1,0,1,,,
r50,1,1,0,1,,,
r7,1,1,1,1,,,
r71,1,1,0,1,,,
r73,1,1,1,0,,,
r74,1,1,1,1,,,
r77,1,1,0,1,,,
r78,1,1,0,1,,,
r79,1,1,1,0,,,
r80,1,1,0,1,,,
r85,1,1,1,1,,,
y17,1,1,0,0,,,
y20,1,1,1,0,,,
y24,1,1,1,0,,,
y3,1,1,0,1,,,
y4,1,1,1,1,,,
y54,1,1,0,1,,,
y6,1,1,0,1,,,
y67,1,1,1,0,,,
y72,1,1,0,1,,,
y89,1,1,1,1,,,
b21,2,2,1,1,,,
b34,2,1,1,1,,,
b43,2,1,0,0,,,
b67,2,1,0,1,,,
g15,2,2,0,0,,,
g2,2,1,1,1,,,
g26,2,1,0,1,,,
g31,2,2,0,1,,,
g32,2,2,1,0,,,
g39,2,2,1,0,,,
g52,2,2,0,1,,,
g53,2,2,0,0,,,
g59,2,2,0,0,,,
g6,2,1,0,0,,,
g64,2,2,1,1,,,
g7,2,2,1,0,,,
g76,2,2,1,0,,,
g77,2,1,0,0,,,
g88,2,1,1,1,,,
r30,2,1,0,1,,,
r36,2,2,0,0,,,
r39,2,1,0,1,,,
r4,2,2,1,1,,,
r4,2,4,1,1,,,
r42,2,2,1,1,,,
r45,2,2,0,1,,,
r50,2,2,0,1,,,
r7,2,1,0,1,,,
r74,2,1,0,1,,,
r77,2,2,0,1,,,
r79,2,2,1,1,,,
y17,2,1,1,0,,,
y20,2,1,1,1,,,
y4,2,1,1,1,,,
y6,2,2,0,1,,,
y72,2,1,1,1,,,
y89,2,1,0,0,,,
b21,3,1,0,1,,,
b34,3,2,1,1,,,
b43,3,2,1,1,,,
b67,3,2,0,0,,,
g15,3,3,0,1,,,
g26,3,2,1,1,,,
g39,3,1,0,0,,,
g53,3,3,0,1,,,
g59,3,1,1,1,,,
g64,3,3,1,1,,,
g76,3,3,1,1,,,
g88,3,2,0,1,,,
r30,3,2,0,1,,,
r4,3,1,0,1,,,
r45,3,3,0,1,,,
r50,3,1,1,1,,,
r77,3,3,0,1,,,
r79,3,3,1,1,,,
y17,3,2,0,1,,,
y20,3,1,0,0,,,
y4,3,1,0,0,,,
y72,3,2,1,1,,,
b67,4,3,0,1,,,
g39,4,3,1,1,,,
g53,4,1,1,1,,,
g59,4,2,1,1,,,
g64,4,1,0,1,,,
r4,4,2,0,1,,,
r45,4,4,0,1,,,
r50,4,2,1,1,,,
r77,4,1,1,1,,,
r79,4,4,1,1,,,
y17,4,3,0,1,,,
y20,4,2,1,1,,,
y4,4,2,0,0,,,
y72,4,2,0,0,,,
b67,5,2,1,1,,,
g53,5,4,0,1,,,
g59,5,3,0,1,,,
g64,5,2,0,1,,,
r4,5,3,1,1,,,
r45,5,5,0,1,,,
r77,5,2,1,0,,,
y20,5,2,1,1,,,
y4,5,3,0,1,,,
y72,5,3,0,1,,,
b67,6,3,1,1,,,
g53,6,2,1,0,,,
g59,6,3,1,1,,,
g64,6,4,1,1,,,
r4,6,3,0,1,,,
r77,6,3,1,1,,,
y20,6,2,0,0,,,
y72,6,3,1,1,,,
b67,7,4,0,1,,,
g53,7,3,1,1,,,
g59,7,4,1,0,,,
g64,7,3,0,1,,,
r4,7,4,0,1,,,
y20,7,2,1,0,,,
y72,7,4,0,0,,,
b67,8,4,1,1,,,
g53,8,5,0,0,,,
g59,8,4,0,1,,,
r4,8,5,0,1,,,
y20,8,3,0,1,,,
y72,8,5,0,0,,,
b67,9,5,1,1,,,
g53,9,6,0,1,,,
r4,9,6,0,1,,,
y72,9,6,0,1,,,
b67,10,6,1,1,,,
b67,11,7,1,1,,,
b67,12,5,0,1,,,
b67,13,8,1,1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
