BeeID,ColonyID,Date,Time,Duration(min),"Choices(Lip,Nolip)",ChoiceSuccess,ThoraxWidth(mm),Weight,,,,,,,,,,,,,,,,,
3,E,6-10-21,1030,6,"L,L,L,N,L,N","S,S,S,S,S,S",4.84,0.21112,,,,,,,,,,,,,,,,,
4,E,6-10-21,1039,11,"L,L,L,L,N,L,N,N,N,N,N,L,N","S,S,S,S,S,S,S,S,S,S,S,S,S",5.67,0.32842,,,,,,,,,,,,,,,,,
6,E,6-11-21,1140,10,"L,L,L,L,N,N,L,L,N,L","U,U,S,S,S,S,S,S,U,S",4.73,0.21109,,,,,,,,,,,,,,,,,
7,E,6-11-21,1155,10,"N,L,N,L,L,N,N,N,L","U,S,S,U,S,S,U,U,S",4.64,0.17756,,,,,,,,,,,,,,,,,
8,D,6-11-21,1100,10,"L,N,L,N","S,S,S,S",4.76,0.20931,,,,,,,,,,,,,,,,,
9,D,6-11-21,1119,10,"L,N,N,L,N,N,L,N","S,U,S,S,S,S,S,S",5.35,0.25943,,,,,,,,,,,,,,,,,
10,E,6-26-21,850,10,"L,L,N","S,S,S",4.74,0.20087,,,,,,,,,,,,,,,,,
11,E,6-26-21,915,10,"L,L,N,N,N,L,N,L,N,N","S,S,S,U,U,S,U,U,S,U",4.99,0.24227,,,,,,,,,,,,,,,,,
12,E,6-26-21,939,10,"N,L,L","S,S,S",4.96,0.23845,,,,,,,,,,,,,,,,,
13,E,6-26-21,959,10,"L,L,N,L,N","S,S,S,S,S",4.26,0.15104,,,,,,,,,,,,,,,,,
14,E,6-11-21,1215,10,N,S,4.8,0.19055,,,,,,,,,,,,,,,,,
15,E,6-11-21,1230,10,"N,L,L","U,U,U",4.7,0.16617,,,,,,,,,,,,,,,,,
16,E,6-11-21,1250,10,"L,L,L,N,N,L,N","S,S,S,U,S,S,U",4.89,0.24555,,,,,,,,,,,,,,,,,
18,E,6-13-21,1127,10,N,S,4.9,0.21806,,,,,,,,,,,,,,,,,
19,E,6-13-21,1205,10,"L,N","S,S",5.2,0.25475,,,,,,,,,,,,,,,,,
20,E,6-13-21,1225,10,"N,N,N,N,L,L,N,L,L","U,U,S,S,S,S,S,U,U",5.71,0.36818,,,,,,,,,,,,,,,,,
21,E,6-18-21,925,10,L,U,5.17,0.16487,,,,,,,,,,,,,,,,,
22,E,6-18-21,940,10,N,S,5.17,0.23812,,,,,,,,,,,,,,,,,
23,E,6-18-21,1012,10,"L,N,N,N","S,S,S,S",5.27,0.28095,,,,,,,,,,,,,,,,,
24,E,6-18-21,1100,10,N,S,4.29,0.11657,,,,,,,,,,,,,,,,,
25,E,6-25-21,1018,10,"N,L,N","S,S,S",4.74,0.20447,,,,,,,,,,,,,,,,,
26,E,6-25-21,1042,10,"L,L,L,N","U,S,S,S",4.78,0.20607,,,,,,,,,,,,,,,,,
27,E,6-25-21,1102,10,"N,L,L","S,S,U",5.61,0.31943,,,,,,,,,,,,,,,,,
28,E,6-25-21,1130,10,"N,N,N,L,L,L,N,L,L","U,S,S,S,U,U,S,S,U",5.11,0.24705,,,,,,,,,,,,,,,,,
29,E,6-25-21,1151,10,"N,N,N,L,L","S,U,S,S,S",5.38,0.29718,,,,,,,,,,,,,,,,,
30,E,6-25-21,1215,10,L,S,4.55,0.15811,,,,,,,,,,,,,,,,,
31,E,6-25-21,1234,10,"N,N,L,L,N,N,N,N,N,N,L,L,N,L,L","U,U,S,S,S,U,S,U,U,U,S,S,S,S,S",5.7,0.38236,,,,,,,,,,,,,,,,,
32,E,6-26-21,1035,10,"N,N,L","S,S,S",5.12,0.27411,,,,,,,,,,,,,,,,,
33,E,6-27-21,955,10,"N,N,N,N,N,L","S,U,U,U,S,S",4.78,0.17966,,,,,,,,,,,,,,,,,
34,E,6-27-21,1030,10,"N,N,L,L","U,U,U,U",5.1,0.15464,,,,,,,,,,,,,,,,,
35,E,6-28-21,1105,10,N,S,5.05,0.26195,,,,,,,,,,,,,,,,,
36,E,6-28-21,1130,10,"N,N,N,L","S,U,U,S",4.79,0.18658,,,,,,,,,,,,,,,,,
37,E,6-28,1203,10,"N,N,L","U,U,U",5.4,0.18959,,,,,,,,,,,,,,,,,
38,E,6-28-21,1218,10,"L,N","U,U",5.16,0.16139,,,,,,,,,,,,,,,,,
39,E,6-28-21,1250,10,"N,N,N,N,L","S,U,U,S,S",5.66,0.30184,,,,,,,,,,,,,,,,,
40,E,6-28-21,1340,10,"L,L,L,L,L,L,L,L,L,N,N","S,U,U,S,U,U,U,S,U,S,S",4.79,0.21221,,,,,,,,,,,,,,,,,
42,E,7-1-21,1309,10,"L,L","U,S",5.09,0.21495,,,,,,,,,,,,,,,,,
43,E,7-12-21,1045,10,"L,N","S,S",4.79,0.22607,,,,,,,,,,,,,,,,,
44,E,8-2-21,1454,16,"N,N,N,N,L,N,L,N,L,N,L","S,U,U,S,S,U,S,S,S,S,S",4.97,0.23903,,,,,,,,,,,,,,,,,
45,E,8-2-21,1515,13,"L,L,N,N,N,N,L,L,L,N,N,N","S,S,S,S,S,U,S,U,S,S,S,U",5.25,0.28146,,,,,,,,,,,,,,,,,
46,E,8-6-21,1317,17,"L,L,L,N,N,N,N,L,L,N,N,L,N,L,N","S,S,S,S,U,S,U,U,U,S,S,S,S,U,S",5.1,0.25845,,,,,,,,,,,,,,,,,
47,E,8-6-21,1334,14,"L,N,N,N,N,N,N,N,N,N,N,L,L,N,N,L,N,L,N,N,L","S,S,S,U,U,S,U,U,U,S,U,S,U,U,S,U,U,S,S,S,S",5.1,0.24521,,,,,,,,,,,,,,,,,
48,E,8-6-21,1409,10,"N,N,N","S,S,U",3.86,0.08252,,,,,,,,,,,,,,,,,
49,E,8-6-21,1433,11,N,S,5.14,0.26487,,,,,,,,,,,,,,,,,
50,E,8-7-21,1511,14,"N,L,L,L,L,N,N,L,N,L,L,N,N","S,S,U,U,S,S,S,S,S,S,U,U,S",4.99,0.16276,,,,,,,,,,,,,,,,,
51,E,8-7-21,1529,16,"L,L,L,L,L,L,L,L,L,L,N,N,N,N,L,L,L,N,N","S,U,S,U,U,U,U,S,U,S,S,U,U,S,S,U,S,S,S",4.82,0.23818,,,,,,,,,,,,,,,,,
52,E,8-9-21,1420,14,"N,L,L,L,L,N,L,L","S,S,S,S,S,S,U,U",4.69,0.21043,,,,,,,,,,,,,,,,,
53,E,8-9-21,1508,13,"N,N,L,L,N,L,N,L,N,N,N,L,N,L,N,L,L,N","S,S,S,U,S,S,S,S,U,U,U,U,S,U,S,S,U,U",5.16,0.25891,,,,,,,,,,,,,,,,,
54,E,8-9-21,1550,18,"L,L,N,L,L,N","S,S,S,S,S,S",4.47,0.17945,,,,,,,,,,,,,,,,,
55,E,8-10-21,1426,14,"L,L,N,N,N,L,N,L,N,L,N,L,L,N,L,N,N,L,L,L,N,N","S,S,S,S,S,S,S,S,U,U,S,U,U,U,U,S,S,S,U,U,S,U",5.34,0.28014,,,,,,,,,,,,,,,,,
56,E,8-10-21,1444,14,"L,L,L,N,N,N,N,N,N,L,N,L,L,N","S,S,S,U,U,S,U,U,U,S,S,S,U,S",5,0.24933,,,,,,,,,,,,,,,,,
57,E,8-10-21,1520,15,"L,L,L,N,N,N,N,L,L,N","S,S,S,S,U,U,U,U,S,S",4.84,0.22977,,,,,,,,,,,,,,,,,
58,E,8-10-21,1553,10,"N,N,N,N","U,U,U,U",5.69,0.20498,,,,,,,,,,,,,,,,,
59,E,8-23-21,1107,14,"N,N,L,L,L,L,L,L,L,N,N,N","S,U,S,U,U,S,S,S,S,S,U,S",4.89,0.22504,,,,,,,,,,,,,,,,,
60,E,8-24-21,1527,13,"N,N,N,N,N,L,L,L,L","S,U,U,S,S,S,S,S,S",4.58,0.19592,,,,,,,,,,,,,,,,,
61,E,8-24-21,1552,20,"N,N,L,N,N,L,L,L,L,N,N,N,L,N,L,L,L,N,L,L,N,L,N,N,N,L,N,N,L","S,S,S,S,S,S,U,U,S,S,S,U,U,S,U,U,U,S,U,S,U,U,U,U,U,U,U,S,S",4.49,0.15202,,,,,,,,,,,,,,,,,
62,E,8-25-21,1109,21,"N,N,N,L,L,L,L,N,N,L,N,L,L,L","S,S,S,S,S,S,U,S,U,S,S,S,S,S",4.84,0.2234,,,,,,,,,,,,,,,,,
63,E,8-26-21,1155,13,"N,L,L,L,N,N,N,N","S,S,S,U,S,S,U,S",5.07,0.25772,,,,,,,,,,,,,,,,,
64,S,11/7/2022,5:31,,"L,N","U,S",4.7,,,,,,,,,,,,,,,,,,
65,S,11/7/2022,6:02,,"N,N","S,U",5.02,,,,,,,,,,,,,,,,,,
66,S,11/28/2022,,,"L,N,N,L,L,L,L,N,L","S,S,S,S,S,U,S,S,S",4.45,,,,,,,,,,,,,,,,,,
67,S,11/30/2022,,,L,U,5.01,,,,,,,,,,,,,,,,,,
68,S,12/1/2022,5:12,,N,S,4.41,,,,,,,,,,,,,,,,,,
69,S,12/7/2022,5:35,,L,S,4.74,,,,,,,,,,,,,,,,,,
70,S,12/12/2022,5:08,,"L,L","S,S",4.14,,,,,,,,,,,,,,,,,,
71,S,12/15/2022,6:10,,"L,N,L","S,S,S",4.98,,,,,,,,,,,,,,,,,,
